Duan Xingxing/X,段星星,M-Nation,C,1,t,1
Luo Yizhou,罗一舟,Youhug Entertainment,C,2,t,2
Chen Junhao/Drcchen,陈俊豪,MPLUS Entertainment,C,3,t,3
Chen Yugeng/Crayon,陈誉庚,Hot Idol,C,4,t,4
Liu Guanyou/Neil,刘冠佑,Haohan Entertainment,C,5,t,5
Lian Huaiwei,连淮伟,Lian Huaiwei Studio,C,6,t,6
Xu Ziwei,徐子未,Avex China,C,7,t,7
Cao Yu/BoogieFish,草鱼,Mavericks,C,8,t,8
Feng Chen Sinan/Merman,冯陈思楠,QIN's Entertainment,C,9,t,9
Yi Xuan/KINGSTON,亿轩,YG Entertainment Beijing Limited,C,10,t,10
Jiang Jingzuo,姜京佐,Banana Entertainment,C,11,t,11
Liu Jun,刘隽,Independent,C,12,t,12
Sun Yihang,孙亦航,Original Plan Entertainment,C,13,t,13
Sun Yinghao/Kachine,孙滢皓,Laoyu Vision,C,14,t,14
Wang Nanjun/Krystian,王南钧,Black Gold Entertainment,C,15,t,15
Zhang Siyuan G.G,张思源,Yihua Entertainment,C,16,t,16
Cui Yunfeng/Otter,崔云峰,DMDF,C,17,t,17
Shi Qi/Chase Lee,十七,BatesMeThinks,C,18,t,18
Yang Haoming,杨昊铭,Shengshiguangnian,C,19,t,19
Wang Jiachen,汪佳辰,FancyTown Culture,C,20,t,20
Ke’erLijun/Keerlijun,苛尔力钧,Star Master,C,21,t,21
Tang Jiuzhou/JOJO,唐九洲,Yihua Entertainment,C,22,t,22
Yuta Hashimoto/Yuta,桥本裕太,Sony Music Labels Inc.,C,23,t,23
Deng Zeming/Jeremy,邓泽鸣,Ciwen Media,C,24,t,24
IKELILI,艾克里里,Ling You Jing Ji,C,25,t,25
Li Junhao/Rimiko,李俊濠,Times Fengjun Entertainment,C,26,t,26
Zhao Jinyao/S.Titch,赵瑾尧,Banana Entertainment,C,27,t,27
Chen Jianyu/DeDe,陈建宇,Youhug Entertainment,C,28,t,28
Wang Linkai/Jason. K,王琳凯,STF,C,29,t,29
Chen Junyu/Jaydon,陈俊宇,Show City Times,C,30,t,30
Liu Qi,刘琦,Yihua Entertainment,C,31,t,31
Liang Sen,梁森,Young Entertainment,C,14,t,14
Xu Xinchi/Nemo,徐新驰,Firefly Media,C,33,t,33
Ailizati,艾力扎提,Beijing Simply Joy Culture Development Co. Ltd,C,34,t,34
Chang Huasen/Waston,常华森,Haohan Entertainment,C,35,t,35
He Derui,何德瑞,Shanghai ZUI Co. Ltd.,C,36,t,36
Bai Lu,白陆,B.K. Entertainment,C,37,t,37
Wang Haoxuan/WD,王浩轩,Hedgehog Brother Entertainment,C,38,t,38
Yang Zhixiang/The Dream,杨智翔,STF,C,39,t,39
Zhong Junyi/ONE,钟骏一,L.TAO Entertainment,C,40,t,40
Zhong Zhuorong/Jeremy,钟卓融,Bejing Why Entertainment Co. Ltd.,C,41,t,41
Ma Sihan/SAI,马思涵,QIN's Entertainment,C,42,t,42
Niu Zaizai,牛在在,Taoxiu Media Group,C,43,t,43
Shi Shang,时尚,Star Master,C,44,t,44
Xu Zhuolun/Casper,许卓伦,S.J. TV,C,45,t,45
Cao Zijun/Dream,曹子俊,Summer Star Media and Entertainment Group,C,46,t,46
Du Tianyu/Jacky,杜天宇,TIANMAXINGHE,C,47,t,47
Jiang Zhihao/Ian,蒋智豪,Youhug Entertainment,C,48,t,48
Liu Xin/LilStar,刘欣,QIN's Entertainment,C,49,t,49
Bai Ding/Dow,白丁,Show City Times,C,50,t,50
Yu Jingtian/Tony,余景天,Astro Music,C,51,t,51
Deng Xiaoci/Jerome.D,邓孝慈,Ciwen Media,C,52,t,52
Kong Xiangchi/KK,孔祥池,Youhug Entertainment,C,53,t,53
Li Haolin/Tommy,李昊霖,Super Idol,C,54,t,54
Wei Hongyu,魏宏宇,BF Entertainment,C,55,t,55
Wei Xingcheng/Vic Wei,魏星丞,Huayi Brothers Fashion,C,56,t,56
Yan Xi/Liam,彦希,Radiant Pictures,C,57,t,57
Zi Yu,梓渝,HKBX Entertainment,C,58,t,58
Chen Dingding/DING,陈鼎鼎,DMDF,C,59,t,59
Fang Zheng,方政,STF,C,60,t,60
